st_address,city,price,zestimate,description,housetype,yearbuilt,heating,cooling,parking,hoa,daysonzillow,pricepersqft,numberofsaves,is_forsale,masterbedlevel,thirdbedlevel,fourthbedlevel,buildingexterior
1923 Warwick Ln,"Schaumburg, IL 60193","$349,000",:,"Welcome home! This house has all the bells and whistles offering great indoor & outdoor living with an added bonus of an attached but separate in law unit.  Sprawling ranch features large size living room with wood burning fireplace & separate dining area. Large size kitchen with 42 maple cabinets, stone back splash, new Whirlpool stainless steel appliances and oversized pantry. Utility room off kitchen with newer front-loading LG washer and dryer.  Main house with 3 bedrooms, 3rd bedroom converted to walk in closet.  All bathrooms are updated. Master bedroom with powder room with room to add shower/tub.  Enjoy outdoor living in the sprawling backyard with 2 bi-level covered decks!  In-law unit with separate heating system, open living room & kitchen, 1 bedroom and updated new bath with shower.  Home features both radiant floor heat and gas HVAC.  Attached 1.5 car garage with ample storage space.  Sprawling yard with storage shed and garden area. Schaumburg schools 54 & 211.",Single Family,1962,Forced air,Central,1 space,"10,014 sqft",56 Days,$175,2,For Sale,,,,Asphalt

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

120 S Springinsguth Rd,"Schaumburg, IL 60193","$199,900",:,"Great location and the best Schaumburg High school district for your children bright future. 4 Bed, 1.5 Bath SINGLE FAMILY HOME. Updated Furnace and Central air.
Kitchen has Granite countertop stainless steel double sink with ceramic tile. GRANITE AND MABLE SINK washroom.
Big back yard with Sun deck and fenced around for Privacy and BBQ.
Huge 2.5 CAR GARAGE.
Walk to Park &  swimming pool and school.
Great investment property.
PLEASE give 48 hr in advance for appointment because tenant still LIVE THERE. Need to fix normal wear and tear.
Agent own. Give out commission for agent who bring the buyer. Sell as it. Rent to own option with good credit. No pet please.",Single Family,1961,Forced air,Central,2 spaces,"10,010 sqft",26 Days,$182,84,For Sale By Owner,,Single Family,,Shake/Shingle

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

1058 Boston Hbr # 1058,"Schaumburg, IL 60193","$175,500",,"Stunning Townhome! Fully remodeled in 2008. 1st Floor with Laminate flooring in Living Room, Dining Room and Kitchen. Dining Room with Patio doors that lead to concrete Patio...great area for grilling. Kitchen with stainless steel appliances and granite countertops. Spacious Master Bedroom with walk-in closet. Many updates include - Newer Furnace, A/C, Windows, Water Heater, Washer and Dryer. 1 car Attached Garage. Award winning Schools. Peaceful neighborhood. Close to everything ... a must see!!  INVESTORS WELCOME!!!",Condo,1979,Forced air,Central,Attached Garage,$233/month,5 Days,No Data,15,For Sale,2nd Level,2nd Level,Not Applicable,Asphalt

426 Redwood Ln,"Schaumburg, IL 60193","$349,900",,"This beautiful, spacious, open concept home with 1954 sq. ft. of livable space has been updated and is in move-in condition. Kitchen boasts 40"" cherry upper cabinets with under cabinet lighting and pantry. Lower cabinets have pullout shelves and soft close drawers. The buffet/bar area is a lovely focal point that serves well when entertaining. The large island is a cooks/bakers dream that adds desired additional counterspace and storage. Striking granite countertops and tumbled marble backsplash give this space a designer look. Set the ambiance with the dimmable can, accent, chandelier and pendent lighting along with the Bose surround sound. Main level bath has soothing Ulta hydrotherapy air tub, new vanity and top, fixtures, mirror and lighting. Bedrooms have newer ceiling fans, adjustable closet organizers and hardwood flooring under the carpeting. New carpet and freshly painted lower level English basement has family room, den/study, workshop, laundry room and more closets with shelving for an abundance of storage. Located in a quiet cul de sac on a dead end street. Large semi private fenced in yard with large deck that overlooks a variety of low maintenance perennials and mature trees. Walking distance to nature sanctuary and park. Within 1.5 miles of desirable school districts 54 and 211, state of the art library, post office, shopping and dining. Minutes from major highways I90, I390 and 355.",Single Family,1973,Forced air,Central,3 spaces,"8,712 sqft",6 Days,$303,15,For Sale By Owner,,Jetted Tub,,Shake/Shingle

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

833 Thornton Ct APT 1B,"Schaumburg, IL 60193","$175,000",,"CLEAN, BRIGHT, NEUTRAL & UPDATED! MOVE IN CONDITION  2BDRM/2BATH RANCH STYLE CONDO IN KINGSPORT ESTATES. FRESH PAINT AND CARPET, UPDATED KITCHEN. SPACIOUS LIVING ROOM/DINING ROOM HAS SLIDERS TO BACK PATIO. MASTER OFFERS SEPARATE VANITY AREA AND WALK IN CLOSET. NEWER HVAC. LOCAL BANK OWNED. WE CAN CLOSE FAST! NO WAITING FOR A SHORT SALE. BANK CONTRACT REQUIRED. PROPERTY SOLD IN AS-IS CONDITION.",Condo,1986,Forced air,Central,Attached Garage,$265/month,32 Days,No Data,4,,Main Level,Not Applicable,Not Applicable,Brick

705 Tipperary Ct APT 1B,"Schaumburg, IL 60193","$113,000",,"Refreshed Condo with a Pond View!

Freshly painted and nicely updated 1 bed, 1 bath condo featuring an inviting open floor plan and a lovely pond view.  Step inside onto hardwood flooring that continues into the spacious living room perfect for entertaining.  Sliding glass doors bring the outside in and provide plenty of natural light.  The dining area offers ceramic tile flooring and is adjacent to the inviting kitchen complete with light wood cabinetry and plenty of counter space.  End the day in the bedroom featuring a large closet, recessed lighting and oversized windows.  A nicely appointed hall bathroom offers a shower surrounded by custom tile and a large vanity with a granite countertop for easy storage.  Step outside onto the private patio surrounded by lush landscaping and take in the pond view!  Residents of Lakewood enjoy access to an outdoor swimming pool, coin laundry and bike room!  Centrally located close to highways plus surrounded by shopping and dining.  For More Information about this Listing or to View all of my Listings pleas visit  www.StartingPointRealty.com or Call Me Today at 847-975-4634 to Schedule a Private Showing!
",Condo,1976,Forced air,Central,2 spaces,$305/month,60 Days,No Data,6,For Sale,Not Applicable,Not Applicable,Not Applicable,Brick

270 Kings Mill Ct UNIT B2,"Schaumburg, IL 60193","$195,000",,"BEAUTIFUL, BRIGHT AND REMODELED TOO! Waiting for you to make it your home. FHA APPROVED! 2 bedrooms, 2 baths, 2nd floor unit. Open floor plan includes Crown Molding, Can lights, Porcelain tile in kitchen and baths, 6 panel doors. SO MUCH NEW! Huge living room, separate dining room. Brand New kitchen!!!! New Cabinets, Quartz Countertop, Stainless Appliances, Subway Tile Back Splash, Porcelain Tile floor, Island and 4X6 Walk in Pantry. Big master bedroom with UPDATED master bath & walk-in closet with organizers. NEWER WINDOWS with new blinds. 2 oversized sliders open to your LARGE balcony that overlooks grassy area. Convenient utility room with washer dryer and additional shelving. Freshly painted. NEW CARPETING! Attached garage too. Nothing to do here but MOVE IN! Complex has a GREAT pool, playground, and clubhouse and close to Prairie Center, Library, shopping, interstate, train and airport!! CONANT HIGH SCHOOL!!!!! LOCATION LOCATION LOCATION! It CAN be used as Investment property.",Condo,1978,No Data,Central,Attached Garage,$206/month,38 Days,No Data,No Data,For Sale,,,,Built in 1978

225 Columbia Ct # U6,"Schaumburg, IL 60193","$165,000",:,"Come see this 2 bdrm,1 bath Condo.  IT'S A MUST SEE!!  Priced to sell. Has a patio, cathedral ceilings, stone wall fireplace, brand new electric water heater, and an extra long 1.5 car garage by way of length.  Elfa closet system in master bedroom.  Close to all shopping and great restaurants.",Condo,1992,Forced air,Central,Attached Garage,$211/month,155 Days,No Data,4,For Sale,Main Level,Not Applicable,Not Applicable,Aluminum Siding

